split,scene_id,camera,frame_id,target_id,target_label,command,mask_path,bbox,disambiguation_type,visibility_score,metadata
test_seen,scene_0100,realsense,0000,9,plum,pick the plum,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_009.png,"[599, 358, 975, 519]",category,0.08709147428656777,"{'mask_val': 10, 'pixel_count': 18659, 'center_2d': [838.0557371777694, 432.6653089661825], 'alternative_commands': ['pick object_009', 'pick the object with id 009', 'pick the yellow object']}"
test_seen,scene_0100,realsense,0000,11,orange,pick the orange,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_011.png,"[508, 401, 602, 493]",category,0.03200526497577551,"{'mask_val': 12, 'pixel_count': 6857, 'center_2d': [553.5340527927665, 444.88697681201694], 'alternative_commands': ['pick object_011', 'pick the object with id 011', 'pick the red object']}"
test_seen,scene_0100,realsense,0000,20,spoon,pick the spoon,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_020.png,"[218, 313, 523, 608]",category,0.055058204120497,"{'mask_val': 21, 'pixel_count': 11796, 'center_2d': [325.28331637843337, 422.32375381485247], 'alternative_commands': ['pick object_020', 'pick the object with id 020', 'pick the red object']}"
test_seen,scene_0100,realsense,0000,29,extra large clamp,pick the extra large clamp,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_029.png,"[912, 260, 1060, 369]",category,0.031753218263118096,"{'mask_val': 30, 'pixel_count': 6803, 'center_2d': [989.5822431280318, 313.5374099661914], 'alternative_commands': ['pick object_029', 'pick the object with id 029', 'pick the blue object']}"
test_seen,scene_0100,realsense,0000,30,foam brick,pick the foam brick,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_030.png,"[846, 149, 981, 229]",category,0.02582078545223715,"{'mask_val': 31, 'pixel_count': 5532, 'center_2d': [921.7078814172089, 196.0497107736804], 'alternative_commands': ['pick object_030', 'pick the object with id 030', 'pick the blue object']}"
test_seen,scene_0100,realsense,0000,41,toy airplane b,pick the toy airplane b,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_041.png,"[587, 266, 944, 400]",category,0.1276243197072524,"{'mask_val': 42, 'pixel_count': 27343, 'center_2d': [752.5992392934206, 329.6320447646564], 'alternative_commands': ['pick object_041', 'pick the object with id 041', 'pick the yellow object']}"
test_seen,scene_0100,realsense,0000,48,dabao sod cream,pick the dabao sod cream,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_048.png,"[234, 500, 465, 719]",category,0.07763038749848306,"{'mask_val': 49, 'pixel_count': 16632, 'center_2d': [339.3420514670515, 615.3014069264069], 'alternative_commands': ['pick object_048', 'pick the object with id 048', 'pick the black object']}"
test_seen,scene_0100,realsense,0000,52,pantene bottle,pick the pantene bottle,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_052.png,"[273, 316, 514, 527]",category,0.09481157174463001,"{'mask_val': 53, 'pixel_count': 20313, 'center_2d': [401.356618913996, 417.2815930684783], 'alternative_commands': ['pick object_052', 'pick the object with id 052', 'pick the green object']}"
test_seen,scene_0100,realsense,0000,58,camel figurine,pick the camel figurine,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_058.png,"[334, 134, 854, 291]",category,0.29438122532042604,"{'mask_val': 59, 'pixel_count': 63070, 'center_2d': [596.4430156968448, 213.29091485650864], 'alternative_commands': ['pick object_058', 'pick the object with id 058', 'pick the blue object']}"
test_seen,scene_0100,realsense,0000,62,tape dispenser,pick the tape dispenser,/Users/delaynomore/Downloads/VLMGraspPose/target_aware_graspnet/outputs/mapping_smoke/mappings/masks/test_seen/scene_0100/realsense/0000/target_062.png,"[515, 457, 892, 608]",category,0.17382354863101296,"{'mask_val': 63, 'pixel_count': 37241, 'center_2d': [702.2177707365538, 540.0632636073145], 'alternative_commands': ['pick object_062', 'pick the object with id 062', 'pick the yellow object']}"
